Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
59365;0,09999999;0,0462;0,9384;-0,0344;1,7667;1,8029;359,7299;True;True;0,1297;0,5421;0,1444;27,8377;10,3140;321,9794;0,0019;0,0029;0,0007;-143,8501;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59375;0,24;0,0458;0,9372;-0,0338;2,5820;1,7355;359,8909;True;True;0,1295;0,5418;0,1448;26,6886;10,4071;322,0819;-0,0001;0,0081;0,0009;-144,0081;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59385;0,38;0,0462;0,9320;-0,0321;6,1188;2,9251;0,5064;True;True;0,1285;0,5419;0,1443;26,3884;9,5984;320,2177;0,0025;-0,0012;-0,0030;-143,9357;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59395;0,52;0,0448;0,9235;-0,0285;11,2204;4,9633;1,2834;True;True;0,1219;0,5900;0,1443;17,4030;15,4560;310,0555;-0,3297;1,2334;-0,1201;-133,4211;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59405;0,6599999;0,0410;0,9159;-0,0247;15,6220;5,7795;2,9772;True;True;0,1639;0,6464;0,2148;19,1162;41,5812;309,5060;0,2761;-0,2782;0,4841;-141,8385;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59415;0,7999998;0,0351;0,9136;-0,0214;17,0833;4,7344;3,2717;True;True;0,1660;0,6022;0,2740;19,0792;69,7060;345,5572;-0,0331;0,3749;-0,1644;-150,7450;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59425;0,9399996;0,0307;0,9084;-0,0187;19,4123;4,0165;3,9351;True;True;0,1418;0,6821;0,2832;13,7482;59,2873;329,2097;-0,2131;0,5352;-0,0647;-143,5845;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;211cf872-ed19-4771-8011-b37c4305b749;False;
59435;1,08;0,0303;0,9064;-0,0198;20,9934;5,7003;4,3991;True;True;0,0839;0,7057;0,2585;14,1877;24,3194;290,6996;-0,2600;-0,1218;-0,0445;-132,1642;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;211cf872-ed19-4771-8011-b37c4305b749;False;
59445;1,219999;0,0282;0,9050;-0,0176;20,9217;8,4299;5,6798;True;True;0,1624;0,6520;0,2532;21,2340;35,9867;338,1371;0,4499;-0,0037;0,2831;-148,6924;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59450;1,279999;0,0275;0,9026;-0,0158;21,2346;9,7444;6,2137;True;True;0,2245;0,6561;0,2188;21,6297;47,9463;348,0073;1,6161;0,1653;-0,9995;-156,5402;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
59455;1,359999;0,0285;0,9007;-0,0156;21,9047;10,4273;6,9440;True;True;0,3105;0,6358;0,2245;15,5945;61,1242;350,7699;0,9556;-0,3751;0,0654;-162,1591;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
59460;1,419999;0,0307;0,9018;-0,0152;21,6778;11,3533;7,2660;True;True;0,3273;0,6401;0,2360;4,3396;74,1086;353,0137;-0,4278;0,5640;-0,0862;-157,6921;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e3c79ad0-54d4-4701-a625-d0d2859b5b3f;False;
59470;1,559999;0,0358;0,9027;-0,0163;21,6974;11,2921;5,6908;True;True;0,2298;0,7224;0,2515;11,5184;67,2482;330,1025;-0,7001;0,5820;0,1572;-155,3844;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e3c79ad0-54d4-4701-a625-d0d2859b5b3f;False;
