Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
42705;0,08;0,0500;0,9353;-0,0461;7,3972;1,3873;359,9924;True;True;0,2137;0,5526;0,1490;39,0940;40,2216;315,8953;0,0080;-0,0127;0,0223;-142,5522;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42710;0,16;0,0502;0,9351;-0,0463;7,5568;1,4718;359,9505;True;True;0,2146;0,5518;0,1499;38,4643;40,4949;315,9931;0,0208;-0,0387;0,0230;-141,4643;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42720;0,3;0,0506;0,9328;-0,0456;8,8637;1,8467;359,9889;True;True;0,2143;0,5518;0,1495;37,7621;40,8780;315,0778;-0,0006;-0,0024;-0,0007;-140,3854;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42730;0,4400001;0,0506;0,9293;-0,0446;11,1777;2,7715;0,0776;True;True;0,2138;0,5517;0,1505;38,4543;42,3927;311,2571;0,0001;0,0079;-0,0017;-139,6794;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42740;0,58;0,0488;0,9239;-0,0420;14,3492;4,7723;0,7124;True;True;0,2069;0,5981;0,1579;16,5150;54,5659;306,4029;-0,1108;0,2676;-0,0077;-131,9593;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42750;0,7199998;0,0442;0,9216;-0,0402;15,7859;5,3525;1,0978;True;True;0,2129;0,6114;0,1997;14,4996;65,2268;340,7337;0,1792;-0,0633;0,6301;-147,3409;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42760;0,8599997;0,0392;0,9192;-0,0398;16,8248;4,2599;1,7649;True;True;0,1809;0,6777;0,2450;5,5071;57,1344;322,3314;-0,1409;0,4324;0,4745;-148,2836;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;a28c35a9-dadd-4f8c-a901-ca95555184b7;False;
42765;0,9199997;0,0398;0,9199;-0,0394;16,6834;4,6689;1,5677;True;True;0,1389;0,7031;0,2652;13,7065;45,6369;304,5814;-0,9090;0,4984;0,2662;-140,7131;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;a28c35a9-dadd-4f8c-a901-ca95555184b7;False;
42770;0,9999996;0,0398;0,9197;-0,0392;16,9788;5,2033;1,7610;True;True;0,0859;0,6973;0,2619;18,0611;32,3023;296,4131;-0,3736;-0,1262;-0,1136;-134,3134;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;a28c35a9-dadd-4f8c-a901-ca95555184b7;False;
42775;1,06;0,0378;0,9192;-0,0386;17,2854;6,0845;2,2942;True;True;0,0871;0,6745;0,2707;17,6060;26,2443;316,0132;0,6788;-0,6812;0,2842;-133,7435;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;a28c35a9-dadd-4f8c-a901-ca95555184b7;False;
42780;1,14;0,0334;0,9178;-0,0375;17,4659;6,1197;3,0316;True;True;0,1604;0,6467;0,2832;21,5287;34,8273;348,8937;0,8205;0,3233;-0,2279;-134,1469;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42785;1,199999;0,0307;0,9169;-0,0369;17,5822;5,5741;4,1596;True;True;0,2126;0,6500;0,2603;17,9622;48,3075;5,8796;0,8771;-0,2233;-0,9790;-142,0155;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42790;1,279999;0,0306;0,9169;-0,0374;17,6064;5,6573;4,3959;True;True;0,2134;0,6397;0,2479;19,8706;54,7981;8,1720;0,1010;-0,0108;-0,0053;-150,0907;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
42795;1,339999;0,0312;0,9184;-0,0371;17,0552;5,1891;4,9688;True;True;0,1992;0,6535;0,2600;16,3808;55,2406;357,8770;-0,3086;0,6647;0,3442;-152,5689;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42805;1,479999;0,0316;0,9203;-0,0399;16,6059;4,2707;3,7803;True;True;0,1622;0,7658;0,2986;15,8867;53,0411;328,5160;-0,4751;0,9107;0,1318;-143,8499;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5130672b-4d00-48ba-a866-1c95d03663f2;False;
42815;1,619999;0,0284;0,9228;-0,0437;15,5126;3,9158;3,1354;True;True;0,0774;0,7771;0,2884;18,5031;40,5420;312,7200;-0,7714;-0,5510;0,0221;-141,8689;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5130672b-4d00-48ba-a866-1c95d03663f2;False;
42825;1,759999;0,0218;0,9238;-0,0432;14,6608;4,1341;3,5426;True;True;0,0951;0,6821;0,2751;14,1267;34,4138;347,5986;1,2132;0,1221;-1,0671;-142,6410;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42835;1,899999;0,0175;0,9211;-0,0410;15,0723;4,4972;5,0664;True;True;0,2512;0,6813;0,2936;9,6794;51,6250;8,3290;0,8342;0,3829;-0,2286;-143,4827;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
42845;2,039999;0,0182;0,9215;-0,0423;14,9805;5,2705;5,6513;True;True;0,2703;0,7221;0,2357;345,9162;73,2670;12,5057;-1,5278;1,1118;-0,2649;-145,4143;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42855;2,179999;0,0223;0,9227;-0,0433;14,7157;5,3193;4,2959;True;True;0,2499;0,7456;0,3059;4,6375;81,1476;341,4632;0,2041;-0,2295;0,6808;-173,4738;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;b259bf66-434a-4ab0-aa8e-6f237573cedf;False;
42860;2,239999;0,0224;0,9235;-0,0449;14,7758;5,2577;3,4768;True;True;0,1435;0,7943;0,2781;9,7024;55,9279;313,4221;-2,5628;0,9774;-1,5199;-150,1445;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;b259bf66-434a-4ab0-aa8e-6f237573cedf;False;
42865;2,319999;0,0220;0,9244;-0,0456;14,1427;4,9672;2,8664;True;True;0,0893;0,7689;0,2958;17,9164;38,1223;302,6215;-0,4257;-0,5757;0,0883;-144,5319;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;b259bf66-434a-4ab0-aa8e-6f237573cedf;False;
42870;2,379998;0,0199;0,9240;-0,0461;14,5032;5,3197;3,1374;True;True;0,0644;0,7251;0,2921;21,3063;28,8732;316,2675;-0,1867;-1,1509;0,2937;-140,0120;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;b259bf66-434a-4ab0-aa8e-6f237573cedf;False;
42875;2,459998;0,0170;0,9234;-0,0446;14,2896;5,5311;3,3664;True;True;0,0824;0,6717;0,2772;21,8179;29,9479;341,4606;0,5142;0,0097;-0,6243;-141,1701;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42880;2,519998;0,0148;0,9222;-0,0429;14,2831;5,4134;4,2502;True;True;0,1372;0,6826;0,2827;13,4319;40,2812;15,7129;0,7396;-0,1451;0,4361;-144,2476;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
42885;2,599998;0,0148;0,9211;-0,0433;14,8915;5,4900;5,0730;True;True;0,2057;0,6528;0,2879;5,7348;56,3274;14,9150;0,5515;-0,2909;0,0620;-147,9882;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42890;2,659998;0,0155;0,9222;-0,0423;14,3039;5,2025;4,8577;True;True;0,2080;0,6662;0,2726;359,4323;68,1788;2,5318;-0,1137;0,5916;-0,1570;-155,1034;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42895;2,739998;0,0173;0,9224;-0,0421;14,5604;4,8549;4,5833;True;True;0,1912;0,6913;0,2984;355,9423;74,4373;354,2661;-0,1845;0,0488;0,8851;-162,0408;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42900;2,799998;0,0193;0,9227;-0,0432;14,6168;5,0105;3,7024;True;True;0,1641;0,7172;0,3283;4,6763;71,8651;344,3033;-0,5589;0,8792;-0,0591;-158,8352;True;False;False;1,0000;1,0000;1,0000;0,6020;0,0000;0,0000;0,0000;0,0000;fa05f22c-23d9-47db-be55-7fc7d46266b2;False;
42910;2,939998;0,0204;0,9243;-0,0460;14,2290;4,8855;2,7708;True;True;0,0473;0,7498;0,2834;15,9598;43,8198;314,6155;-0,6499;-0,1237;-0,1455;-139,6725;True;False;False;1,0000;1,0000;1,0000;0,8451;0,0000;0,0000;0,0000;0,0000;fa05f22c-23d9-47db-be55-7fc7d46266b2;False;
42920;3,079998;0,0153;0,9238;-0,0455;14,0414;4,8261;3,8800;True;True;0,0737;0,6666;0,2767;19,7838;31,3682;349,3026;0,3978;-0,0467;0,2306;-144,0302;True;False;False;1,0000;0,9745;0,9711;0,9290;0,0000;0,0000;0,0000;0,0000;fa05f22c-23d9-47db-be55-7fc7d46266b2;False;
42930;3,219998;0,0135;0,9214;-0,0426;14,6746;4,7107;5,1153;True;True;0,1818;0,6429;0,3085;12,4389;60,1099;2,2625;0,2905;-0,0075;0,6589;-155,9428;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
42940;3,359998;0,0134;0,9223;-0,0416;14,4406;4,2776;4,8657;True;True;0,1566;0,7204;0,3296;6,5834;84,0424;353,3981;-0,0974;0,2662;0,3022;-168,2012;True;False;False;1,0000;0,8940;0,5975;0,3571;0,0000;0,0000;0,0000;0,0000;cba1b79d-fb5d-4437-93bb-7b46e165697b;False;
42950;3,499997;0,0145;0,9233;-0,0447;14,2401;4,3962;3,9064;True;True;0,0762;0,7592;0,3275;12,5651;57,4038;322,4420;-0,5560;-0,2205;-0,7505;-155,6154;True;False;False;1,0000;1,0000;0,5690;0,1626;0,0000;0,0000;0,0000;0,0000;cba1b79d-fb5d-4437-93bb-7b46e165697b;False;
42960;3,639997;0,0098;0,9221;-0,0452;14,5069;4,5834;4,3901;True;True;0,0374;0,6797;0,2823;17,4568;34,2142;337,0435;0,3413;-0,5084;-0,1514;-147,5005;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;cba1b79d-fb5d-4437-93bb-7b46e165697b;False;
42965;3,699997;0,0063;0,9210;-0,0426;14,4904;4,5986;5,2164;True;True;0,1100;0,6641;0,2719;12,9474;38,8098;356,6433;1,0412;-0,6151;0,3291;-149,9085;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
42970;3,779997;0,0045;0,9190;-0,0407;14,9625;4,8269;6,2525;True;True;0,1840;0,6641;0,2496;8,0499;54,3772;14,5966;0,5652;-0,1210;-0,1712;-150,3522;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42975;3,839997;0,0043;0,9180;-0,0418;15,2137;5,2134;7,2042;True;True;0,2255;0,6734;0,2308;349,2751;66,8247;27,0383;0,7857;-0,6111;0,4487;-157,8830;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42980;3,919997;0,0057;0,9198;-0,0425;14,4840;5,2598;6,9597;True;True;0,2259;0,7033;0,2290;339,5339;86,5475;25,4656;-0,0983;0,0403;0,1379;162,9180;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
42985;3,979997;0,0076;0,9213;-0,0429;14,0513;4,9225;6,0676;True;True;0,2198;0,7184;0,2593;338,7540;81,2267;1,9684;-0,0642;-0,0499;-0,3277;173,8676;True;False;False;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;b71722ab-938f-4764-b37d-86219c864b8e;False;
42990;4,059997;0,0094;0,9218;-0,0444;13,9686;5,1696;4,7248;True;True;0,1913;0,7660;0,3120;3,6266;80,0709;337,4171;-0,1565;0,3943;0,3862;-174,6377;True;False;False;1,0000;1,0000;1,0000;0,7097;0,0000;0,0000;0,0000;0,0000;b71722ab-938f-4764-b37d-86219c864b8e;False;
42995;4,119997;0,0098;0,9230;-0,0459;13,9116;5,1888;4,3115;True;True;0,1093;0,7890;0,3106;3,2489;59,3058;316,6440;-1,9768;0,2348;-0,8884;-155,6456;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;b71722ab-938f-4764-b37d-86219c864b8e;False;
43005;4,259997;0,0069;0,9224;-0,0470;13,9265;5,7469;4,3848;True;True;0,0386;0,7026;0,2850;13,6006;29,8473;327,8700;0,0855;-1,7951;0,2783;-144,1040;True;False;False;1,0000;1,0000;1,0000;0,8121;0,0000;0,0000;0,0000;0,0000;b71722ab-938f-4764-b37d-86219c864b8e;False;
43015;4,399997;0,0053;0,9214;-0,0436;13,7084;6,0428;5,9266;True;True;0,1517;0,6671;0,2837;8,9054;44,5781;14,3955;0,9499;-0,1319;0,2756;-146,2664;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
43025;4,539997;0,0094;0,9215;-0,0430;13,8582;6,1208;6,2235;True;True;0,2276;0,6832;0,2939;0,9430;75,4475;357,9625;0,0252;0,0406;0,2080;-154,9638;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
43035;4,679996;0,0115;0,9220;-0,0433;14,1433;5,7471;5,2547;True;True;0,1780;0,7478;0,3249;6,5482;83,8699;346,5400;-0,0858;0,0451;0,1216;-170,0318;True;False;False;1,0000;0,9433;0,5813;0,2492;0,0000;0,0000;0,0000;0,0000;9f549eaa-c875-4098-97b8-f420d4ec6333;False;
