Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
64850;0,06;0,0615;0,9846;-0,0483;24,0164;9,7377;358,8795;True;True;0,3422;0,6022;0,1158;36,1847;53,1600;285,3661;-0,0177;-0,0008;0,0029;130,2820;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64855;0,14;0,0602;0,9848;-0,0486;24,0423;9,4816;359,0304;True;True;0,3408;0,6019;0,1157;36,8420;51,5894;284,5933;-0,0127;0,0000;-0,0028;130,0995;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64865;0,28;0,0581;0,9849;-0,0483;23,7780;9,5121;359,2414;True;True;0,3364;0,6034;0,1127;37,6966;52,4823;286,0793;-0,0656;0,0611;-0,0518;130,7768;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64870;0,36;0,0582;0,9849;-0,0470;23,9620;10,1486;359,8774;True;True;0,3358;0,6101;0,1124;36,5311;55,5587;291,4359;-0,0039;0,0939;0,0026;132,8825;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64875;0,42;0,0602;0,9835;-0,0458;24,7542;11,6672;0,4044;True;True;0,3331;0,6420;0,1164;29,1914;65,7293;310,4485;-0,1333;0,6598;-0,0161;139,8980;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64880;0,5000001;0,0629;0,9819;-0,0435;25,6579;14,2537;1,1532;True;True;0,3199;0,6640;0,0991;22,3861;76,9930;327,9730;-0,1720;0,2363;-0,2602;150,8181;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64885;0,56;0,0653;0,9798;-0,0405;26,6030;17,0297;2,3447;True;True;0,3278;0,6979;0,0840;19,5842;93,0508;348,4318;0,4414;0,6665;0,1079;172,1857;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64895;0,6999999;0,0662;0,9760;-0,0362;27,7492;19,9277;3,9649;True;True;0,3390;0,6747;0,0865;8,8286;99,3402;13,9022;-0,0853;-0,2725;-0,0776;171,1491;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64905;0,8399997;0,0642;0,9744;-0,0362;28,0975;19,8505;4,3576;True;True;0,3352;0,6559;0,0816;17,2325;100,2113;4,3344;-0,4016;-0,1545;0,1804;171,2195;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
64915;0,9799996;0,0615;0,9752;-0,0371;27,7961;18,6542;3,7792;True;True;0,3194;0,6983;0,1150;12,3132;92,1034;343,8429;-0,1027;0,2242;0,0757;162,0168;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;13d161ab-296c-4180-8710-80132d61bcdc;False;
