Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
55010;0,08;0,0624;0,9952;-0,0710;12,2787;357,8582;359,3957;True;True;0,1258;0,5864;0,1617;36,8489;49,0989;345,8310;-0,0028;0,0034;-0,0001;-154,4453;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55015;0,16;0,0623;0,9949;-0,0709;12,4820;357,8991;359,4539;True;True;0,1259;0,5865;0,1619;36,4506;49,0227;345,3353;-0,0017;-0,0039;0,0012;-154,1149;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55025;0,3;0,0624;0,9942;-0,0695;13,1901;358,6404;359,5498;True;True;0,1257;0,5876;0,1611;37,2132;48,0249;344,6398;-0,0004;-0,0022;-0,0021;-153,9558;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55035;0,4400001;0,0615;0,9899;-0,0635;15,9804;1,4360;0,6401;True;True;0,1435;0,6286;0,1238;17,2405;48,5213;340,4590;0,3076;1,1053;-0,8358;-151,8179;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55045;0,58;0,0579;0,9860;-0,0593;17,6613;3,4447;1,8563;True;True;0,1977;0,6951;0,1279;11,6806;65,0065;353,7836;-0,0239;0,0641;0,0011;-168,3545;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55055;0,7199998;0,0536;0,9852;-0,0595;18,1855;4,1562;2,6865;True;True;0,2234;0,6797;0,1557;9,9986;79,1526;353,9279;0,1988;-0,0846;0,1975;-167,5940;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55065;0,8599997;0,0485;0,9856;-0,0599;17,8973;3,4220;3,2436;True;True;0,2300;0,6925;0,1708;12,2161;77,6037;353,8233;-0,0372;0,0766;0,0299;-166,4037;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55075;0,9999996;0,0450;0,9854;-0,0602;18,1583;2,3672;3,2827;True;True;0,1801;0,7430;0,1864;8,7478;70,9927;342,1516;-0,2896;-0,0335;-0,0057;-165,2340;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55080;1,06;0,0432;0,9855;-0,0600;18,0424;1,6198;2,7361;True;True;0,1521;0,7532;0,1848;10,8298;58,5636;327,7477;-0,6230;0,3159;0,0419;-157,9865;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55085;1,14;0,0413;0,9858;-0,0598;17,9884;0,7917;1,9994;True;True;0,0991;0,7556;0,1916;14,6222;40,8447;312,6535;-0,5640;-0,1636;0,1559;-150,1118;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55090;1,199999;0,0398;0,9864;-0,0598;17,7913;0,3801;1,6658;True;True;0,0562;0,7474;0,1928;16,1773;30,4248;310,0775;-0,7594;-0,0663;0,0419;-142,5052;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55095;1,279999;0,0389;0,9874;-0,0601;17,5264;0,4741;1,6994;True;True;0,0362;0,7380;0,1958;17,2642;26,3600;320,8754;-0,2429;-0,0896;0,0336;-143,8594;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55100;1,339999;0,0377;0,9882;-0,0601;17,2377;0,8669;1,8353;True;True;0,0185;0,7103;0,2046;17,7471;30,1216;338,5486;-0,2780;-0,7470;0,3769;-148,4055;True;False;False;1,0000;0,9982;1,0000;0,9789;0,0000;0,0000;0,0000;0,0000;321b2be5-6342-4209-b81e-f3f3ac46e9d3;False;
55105;1,419999;0,0364;0,9880;-0,0593;17,0266;1,6046;2,1115;True;True;0,0420;0,6934;0,2094;15,4161;35,5932;356,6969;0,4648;0,1700;-0,1934;-150,6420;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
55110;1,479999;0,0356;0,9868;-0,0586;17,4761;2,7822;3,0230;True;True;0,0783;0,7133;0,2022;17,0904;40,0978;7,6611;0,6111;0,3766;0,1009;-155,3818;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55120;1,619999;0,0337;0,9855;-0,0574;17,6223;3,6660;4,1284;True;True;0,1865;0,7201;0,1951;11,4426;55,5353;3,7876;0,9299;-0,1031;0,0994;-160,7465;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
55130;1,759999;0,0348;0,9862;-0,0589;17,1967;4,2208;4,8242;True;True;0,2530;0,7008;0,2135;4,4037;75,6196;4,7631;0,3430;-0,0280;-0,2538;-162,7184;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
