Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
45315;0,06;0,0172;0,9800;0,0135;23,2604;8,8128;0,7822;True;True;0,3307;0,5936;0,2334;59,0841;88,1574;325,6655;-0,0008;-0,0305;0,0315;152,8513;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45320;0,14;0,0174;0,9790;0,0138;23,6072;8,9920;1,0495;True;True;0,3321;0,5941;0,2333;58,6743;94,0854;330,5284;0,0369;0,0113;0,0021;153,4649;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45325;0,22;0,0174;0,9782;0,0139;23,9866;8,8249;1,0912;True;True;0,3311;0,5941;0,2335;59,6249;92,9670;329,0411;-0,0233;0,0029;0,0016;153,6004;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45335;0,36;0,0179;0,9773;0,0140;24,9960;9,5675;1,2518;True;True;0,3288;0,5957;0,2331;57,5441;78,8229;313,5190;0,0216;-0,0096;0,0149;149,5005;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45345;0,5000001;0,0194;0,9755;0,0182;25,9641;10,0014;2,3038;True;True;0,3131;0,6212;0,2213;31,6877;45,5519;310,4660;-0,2641;0,4612;-0,1841;136,0964;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45355;0,6399999;0,0187;0,9720;0,0187;27,2013;10,5360;3,0133;True;True;0,3087;0,6472;0,2239;20,5605;48,5894;344,3221;0,1824;0,0074;0,3673;-142,9196;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45365;0,7799998;0,0152;0,9715;0,0192;27,3355;10,1528;3,7334;True;True;0,3074;0,6536;0,2370;8,6670;49,2899;356,9202;-0,1360;0,4075;0,0101;-139,7725;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45375;0,9199997;0,0119;0,9710;0,0192;27,5752;9,4766;4,0039;True;True;0,2395;0,7453;0,2127;8,4251;46,0742;336,6293;-0,2316;0,1117;0,1533;-149,8154;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45380;0,9799996;0,0109;0,9709;0,0187;27,7709;9,1491;3,8335;True;True;0,2294;0,7453;0,2354;9,3995;42,9386;327,0531;-0,2365;0,0004;0,5444;-150,8896;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45385;1,06;0,0092;0,9717;0,0177;27,6215;7,9152;3,2301;True;True;0,1835;0,7609;0,2446;13,5181;33,5152;315,8374;-0,7036;0,1999;0,0028;-148,3589;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45390;1,12;0,0072;0,9731;0,0166;27,3504;6,6829;2,0967;True;True;0,1144;0,7670;0,2403;15,8666;27,7548;310,9116;-1,3191;0,0469;-0,1699;-152,2528;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45395;1,199999;0,0055;0,9746;0,0160;27,0147;5,8015;1,6019;True;True;0,0669;0,7499;0,2488;19,5357;24,0573;315,5232;-0,4131;-0,5718;0,2375;-153,2379;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45400;1,259999;0,0030;0,9753;0,0164;26,9666;5,2423;1,6207;True;True;0,0202;0,7104;0,2452;28,2517;27,5498;328,1836;-0,8049;-0,5220;-0,4878;-154,4428;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3dab251c-166f-4cdb-99d9-1231d8a8d045;False;
45405;1,339999;-0,0009;0,9751;0,0183;26,9660;4,7825;1,6349;True;True;0,0300;0,6707;0,2630;24,3617;33,4723;344,4551;0,3717;-0,2774;0,2527;-159,9739;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45410;1,399999;-0,0046;0,9733;0,0200;27,6617;5,1686;2,2285;True;True;0,0639;0,6987;0,2674;18,2097;34,0782;3,9960;0,7636;0,8466;-0,0414;-158,6661;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
45415;1,479999;-0,0079;0,9720;0,0210;28,1461;5,7232;3,3369;True;True;0,1014;0,6950;0,2528;18,9224;39,4058;5,4377;0,2561;-0,1575;-0,2012;-157,8065;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45420;1,539999;-0,0098;0,9712;0,0210;28,2170;5,6966;4,0382;True;True;0,1657;0,7153;0,2359;20,4159;48,4883;4,5172;1,4805;0,9294;-0,3343;-164,3462;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45430;1,679999;-0,0108;0,9702;0,0198;27,9132;6,0055;4,7494;True;True;0,2222;0,6599;0,2318;359,4677;49,3653;9,2649;-0,1642;0,1186;-1,1526;-151,9272;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45440;1,819999;-0,0092;0,9707;0,0175;27,7995;5,7628;4,5735;True;True;0,2197;0,6315;0,2467;0,6538;53,7657;1,9496;-0,0303;-0,1163;0,0600;-155,6756;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45450;1,959999;-0,0086;0,9719;0,0187;28,0016;5,1115;3,0835;True;True;0,1502;0,7553;0,2514;2,7002;48,9289;341,6638;-0,2535;0,5513;-0,1789;-161,1791;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1f868954-7c75-41e6-9d9f-1496708bd065;False;
45460;2,099999;-0,0086;0,9732;0,0189;27,6308;5,0561;1,6837;True;True;0,0585;0,7509;0,2567;19,2632;38,4200;326,4223;-0,4734;-0,0090;-0,0119;-160,5617;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1f868954-7c75-41e6-9d9f-1496708bd065;False;
45470;2,239999;-0,0114;0,9740;0,0188;27,2493;4,3452;1,5757;True;True;0,0283;0,6607;0,2705;25,1178;39,7376;358,4958;0,1858;-0,5354;0,0123;-164,3175;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45480;2,379998;-0,0153;0,9741;0,0192;26,8938;3,2597;2,2716;True;True;0,0717;0,6527;0,2679;12,5179;45,6038;11,5598;0,2643;-0,1465;0,0384;157,7600;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
45485;2,439998;-0,0151;0,9743;0,0181;26,9137;2,9344;2,7061;True;True;0,1071;0,6562;0,2739;22,8960;55,1649;1,5194;0,9182;0,3628;0,0915;-161,3014;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45490;2,519998;-0,0140;0,9753;0,0167;26,4518;2,7403;2,7932;True;True;0,1357;0,6571;0,2769;359,2160;54,0712;359,7313;0,1547;-0,2402;0,0502;-160,9099;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45495;2,579998;-0,0123;0,9761;0,0156;25,9583;2,6659;2,9360;True;True;0,1480;0,6271;0,2924;4,8545;47,8657;353,3554;0,4056;-0,4457;0,1596;-158,4860;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45500;2,659998;-0,0102;0,9769;0,0156;25,6897;2,5573;2,7215;True;True;0,1486;0,6384;0,2914;4,6240;44,2852;348,8227;-0,1861;0,2218;0,0557;-151,7448;True;False;False;1,0000;1,0000;0,9254;0,6979;0,0000;0,0000;0,0000;0,0000;87e00673-adfa-4b0d-85b2-2514cebed3dc;False;
45505;2,719998;-0,0077;0,9775;0,0164;25,5888;2,4668;1,9524;True;True;0,1177;0,6839;0,3075;6,6348;43,3152;335,2676;-0,7744;1,1138;0,3614;-152,5903;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;87e00673-adfa-4b0d-85b2-2514cebed3dc;False;
45510;2,799998;-0,0051;0,9777;0,0169;25,7100;2,8230;1,0029;True;True;0,0898;0,7206;0,2942;15,2740;34,3871;317,0828;-0,4007;-0,0114;-0,0118;-153,6259;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;87e00673-adfa-4b0d-85b2-2514cebed3dc;False;
45515;2,859998;-0,0038;0,9783;0,0172;25,5939;3,2322;0,1705;True;True;0,0431;0,7180;0,2781;27,6708;29,0227;306,1143;-0,9006;-0,1235;-0,3583;-150,3856;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;87e00673-adfa-4b0d-85b2-2514cebed3dc;False;
45525;2,999998;-0,0055;0,9784;0,0172;25,3064;2,7596;359,7770;True;True;0,0062;0,6624;0,2743;29,1833;35,0233;355,8728;-0,5411;-1,3855;0,6033;-160,7499;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;87e00673-adfa-4b0d-85b2-2514cebed3dc;False;
45535;3,139998;-0,0088;0,9769;0,0179;25,6794;2,6078;0,4648;True;True;0,0339;0,6380;0,2752;14,2070;35,0398;14,5828;0,0821;0,2897;-0,1512;-155,0716;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
45545;3,279998;-0,0098;0,9769;0,0174;25,6111;3,0923;1,9904;True;True;0,1281;0,6878;0,2532;22,6377;43,9415;8,3428;0,2031;0,3226;-0,0619;-156,5982;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45555;3,419997;-0,0073;0,9758;0,0157;25,4801;3,4712;3,2393;True;True;0,1724;0,6822;0,2322;0,0772;44,8991;19,1610;0,1901;-0,1112;-0,0367;160,9069;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
45565;3,559997;-0,0023;0,9761;0,0148;25,2336;3,9475;3,0083;True;True;0,1789;0,6624;0,2591;1,8051;39,6620;1,0487;-0,1025;0,1325;0,2268;-154,2018;True;False;False;1,0000;1,0000;1,0000;0,9881;0,0000;0,0000;0,0000;0,0000;cbbc018c-f1f0-4e35-ad73-07e3cbb9e3cc;False;
45575;3,699997;0,0004;0,9779;0,0164;24,8230;4,0729;1,3045;True;True;0,0976;0,7304;0,2519;13,2071;29,8486;325,1044;-0,3504;0,0897;-0,0353;-153,4007;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cbbc018c-f1f0-4e35-ad73-07e3cbb9e3cc;False;
45580;3,759997;-0,0004;0,9784;0,0178;24,6509;3,8836;0,4098;True;True;0,0463;0,7219;0,2558;19,2935;23,9965;314,3393;-1,1358;-0,2307;0,0193;-149,9469;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cbbc018c-f1f0-4e35-ad73-07e3cbb9e3cc;False;
45585;3,839997;-0,0024;0,9786;0,0188;24,6499;3,5312;359,9096;True;True;0,0185;0,7142;0,2498;27,7421;26,6844;332,1893;-0,0409;-0,0415;-0,0791;-155,4085;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cbbc018c-f1f0-4e35-ad73-07e3cbb9e3cc;False;
45595;3,979997;-0,0091;0,9781;0,0205;24,6879;3,0987;359,9841;True;True;0,0056;0,6310;0,2871;15,0082;30,0866;22,6173;0,4072;-0,2255;-0,1289;-152,5373;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
