;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
17;62950.0;3.319998;-0.0594;0.6329;-0.0526;18.5267;3.4507;4.3346;True;True;0.0164;0.4525;0.2256;31.684;47.7367;342.7542;-0.3443;-0.1737;-0.1631;-176.3081;True;True;False;0.1424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
18;62960.0;3.459997;-0.0532;0.6285;-0.05;20.9001;2.0524;1.9387;True;True;-0.1644;0.3854;0.2162;40.4293;22.3304;308.6196;-0.7223;-0.5072;0.0358;-154.026;True;True;False;0.0395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
19;62970.0;3.599997;-0.0596;0.6281;-0.0481;21.0521;1.6321;1.4963;True;True;-0.1504;0.3808;0.2286;33.5539;46.14;356.4468;0.3024;-0.8881;0.0012;-168.1158;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
20;62975.0;3.659997;-0.0632;0.628;-0.0497;20.7974;1.1752;1.9672;True;True;-0.1223;0.3953;0.2595;28.7301;37.983;343.6585;0.5727;2.3711;0.2573;-163.1975;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;True;2
21;62980.0;3.739997;-0.0644;0.6295;-0.0524;20.7569;1.052;2.4442;True;True;-0.096;0.4253;0.2474;39.8646;40.666;354.9348;0.1718;-0.3153;-0.1691;-173.3413;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
22;62985.0;3.799997;-0.0642;0.6308;-0.0522;19.7677;1.2023;3.1496;True;True;-0.0897;0.4067;0.2591;30.5609;42.2991;353.6928;0.0581;0.3334;0.4912;-170.6464;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
23;62990.0;3.879997;-0.064;0.6297;-0.0516;20.4932;2.8549;3.0537;True;True;-0.0393;0.4233;0.2393;38.3187;42.7313;1.5005;1.8302;-0.4291;-1.3649;158.1781;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
24;62995.0;3.939997;-0.0631;0.6296;-0.0515;20.4531;6.4221;4.4104;True;True;0.0202;0.446;0.188;22.2513;46.2084;349.689;0.9621;0.9357;-0.6943;-171.5356;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
25;63000.0;4.019997;-0.0624;0.6316;-0.0542;19.7641;9.1621;5.3666;True;True;0.14;0.4666;0.1753;16.6158;49.5871;341.7675;1.0969;0.2904;-0.5042;-162.2267;True;True;False;0.0786;0.0;0.0;0.0;0.0582;0.0734;0.1346;0.1649;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
26;63005.0;4.079997;-0.0611;0.6331;-0.0566;19.1966;10.3953;6.1569;True;True;0.1825;0.4434;0.1273;12.3762;57.2782;354.4509;0.1556;-1.07;-0.7938;-167.1107;True;True;False;0.377;0.3382;0.0;0.0;0.1851;0.3634;0.4267;0.423;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
