Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;NumRepeticion
3000;15,30016;-0,0371;1,1036;0,0438;38,2328;359,638;9,0082;True;True;0,1297;0,7232;0,3106;348,3136;40,6968;0,5973;-0,1657;-0,054;0,1402;-164,4896;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7
3005;15,38016;-0,0391;1,1034;0,046;38,179;359,4731;9,049;True;True;0,1264;0,721;0,3143;349,4922;39,6531;357,9958;0,011;-0,0078;-0,0015;-161,0759;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7
3010;15,44016;-0,0406;1,1017;0,0489;38,2265;359,8264;9,6292;True;True;0,1351;0,7264;0,3214;354,5831;33,8744;354,5896;0,3227;0,1235;0,2655;-157,3651;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7
3015;15,52017;-0,0415;1,0997;0,0522;38,2941;0,1504;10,1932;True;True;0,1455;0,736;0,3233;352,7957;31,7065;351,2074;0,111;0,1325;-0,0269;-152,2993;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7
3020;15,58017;-0,0412;1,0979;0,0557;38,1178;359,7101;9,5866;True;True;0,147;0,7781;0,3108;354,4114;33,6835;345,9796;-0,1498;1,3627;-0,4135;-152,2171;True;False;False;1,0;1,0;0,9246;0,6942;0,0;0,0;0,0;0,0;7
3025;15,66017;-0,0401;1,0969;0,0584;38,1755;358,4971;8,387;True;True;0,1247;0,8091;0,3153;354,638;31,9787;327,8269;-0,2428;0,2877;0,0449;-146,4274;True;False;False;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3030;15,72017;-0,0396;1,0968;0,0589;38,303;354,9533;5,5327;True;True;0,0733;0,8714;0,3024;12,3833;22,161;326,5365;-1,1482;1,1292;-0,4528;-145,4503;True;False;False;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3040;15,86017;-0,0489;1,0987;0,0531;38,0986;342,0504;357,5524;True;True;-0,0237;0,8345;0,3023;355,0168;15,3353;328,1475;-0,2883;-0,5789;0,3679;-150,9399;True;False;False;1,0;1,0;0,8683;0,6209;0,0;0,0;0,0;0,0;8
3045;15,94018;-0,0549;1,0987;0,0521;38,3084;336,7751;354,7701;True;True;-0,0546;0,7783;0,3239;344,6324;11,2904;334,7563;-0,2576;-0,414;0,1427;-149,3421;True;False;False;1,0;1,0;0,8849;0,6482;0,0;0,0;0,0;0,0;8
3055;16,08018;-0,0646;1,0982;0,0562;38,4445;332,9333;352,8871;True;True;-0,0645;0,7277;0,311;346,9245;2,5604;10,0453;-0,0552;0,094;-0,0982;-162,4019;True;False;False;1,0;1,0;0,8391;0,6004;0,0;0,0;0,0;0,0;8
3065;16,22018;-0,0651;1,0948;0,0592;40,3863;334,0822;354,1106;True;True;-0,0479;0,7546;0,2953;341,5146;13,2605;12,5017;0,246;-0,1393;0,1087;178,1899;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3070;16,30018;-0,0614;1,0949;0,0586;40,7473;336,0929;354,194;True;True;-0,0491;0,751;0,2976;341,4846;18,5701;11,909;-0,0337;-0,011;-0,0084;-175,4631;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3080;16,44019;-0,0592;1,0978;0,0543;39,7743;341,1657;357,1522;True;True;-0,0454;0,7557;0,2993;345,544;22,2113;11,5024;0,0376;0,2099;0,0513;-179,0426;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3085;16,52019;-0,0545;1,1006;0,0552;39,5816;350,2692;2,918;True;True;-0,0227;0,8166;0,2816;348,1376;18,6895;2,2509;0,217;0,7212;-0,2634;-175,6436;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3090;16,58019;-0,0426;1,101;0,0577;37,5983;5,2374;12,4568;True;True;0,0563;0,8535;0,2609;347,7605;18,0029;342,0655;1,4101;0,3085;-0,2796;-165,9223;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3095;16,66019;-0,0326;1,098;0,058;36,5753;14,892;16,9058;True;True;0,1406;0,8526;0,2437;348,1442;25,5141;321,7889;0,7949;0,0181;-0,1968;-147,0785;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3100;16,72019;-0,0257;1,0948;0,058;36,4298;20,1106;19,473;True;True;0,2294;0,8045;0,2559;354,7386;31,743;328,9425;1,7818;-0,8523;-0,513;-140,6438;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3105;16,80019;-0,0206;1,0936;0,0569;36,3738;22,0952;20,7423;True;True;0,2911;0,7466;0,2448;350,4889;40,0264;354,3894;0,533;-0,3572;-0,1368;-151,5754;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3110;16,8602;-0,0169;1,0949;0,0557;35,7186;22,5736;20,6606;True;True;0,2811;0,7572;0,2186;337,9528;43,4812;9,5584;-0,0094;0,0612;-0,2196;-164,6485;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3115;16,9402;-0,0137;1,0974;0,0543;35,5749;21,1974;19,5346;True;True;0,2777;0,7324;0,2367;336,2082;52,1016;10,811;-0,03;-0,2769;0,2143;-170,2684;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3120;17,0002;-0,0129;1,1003;0,0535;35,6091;18,9142;17,162;True;True;0,2526;0,7382;0,2465;341,9879;56,4944;13,0963;-0,4113;0,0562;0,1826;-177,0938;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3125;17,0802;-0,0155;1,1018;0,0553;35,2079;16,4356;15,9217;True;True;0,2494;0,7308;0,2617;341,5001;54,1744;13,8364;-0,0228;-0,0087;0,1216;-173,6082;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3130;17,1402;-0,0178;1,1007;0,0585;35,2932;14,2366;15,6916;True;True;0,2551;0,7292;0,2697;340,6057;57,6658;13,3502;0,1609;-0,1325;0,0676;-174,8841;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8
3140;17,2802;-0,0161;1,0963;0,066;36,4845;13,3794;15,6604;True;True;0,2582;0,7442;0,2772;350,8802;55,8446;11,4316;-0,102;0,0832;-0,02;-171,3853;True;False;False;1,0;1,0;0,9557;0,7179;0,0;0,0;0,0;0,0;8
3150;17,42021;-0,0135;1,0937;0,0711;37,4762;9,9038;12,8224;True;True;0,1917;0,8047;0,27;353,6198;45,8152;356,8476;-0,6093;0,612;-0,0627;-163,0743;True;False;False;1,0;1,0;1,0;0,7686;0,0;0,0;0,0;0,0;9
3160;17,56021;-0,0248;1,0958;0,0715;37,1678;356,8452;5,2782;True;True;0,0769;0,8533;0,285;352,2508;32,2492;341,3954;-0,6734;0,2058;0,1012;-156,0895;True;False;False;1,0;1,0;1,0;0,9338;0,0;0,0;0,0;0,0;9
3165;17,62021;-0,035;1,0964;0,0671;37,8661;348,3172;1,225;True;True;0,0109;0,8689;0,2765;355,8628;26,0193;338,6636;-1,2378;0,0094;-0,0335;-159,4636;True;False;False;1,0;1,0;1,0;0,9289;0,0;0,0;0,0;0,0;9
3170;17,70021;-0,045;1,0978;0,0608;38,3343;338,8635;356,2203;True;True;-0,0387;0,8382;0,3005;355,6889;20,7622;336,173;-0,409;-0,1151;0,1205;-159,0179;True;False;False;1,0;1,0;1,0;0,8783;0,0;0,0;0,0;0,0;9
3180;17,84022;-0,0553;1,1044;0,0539;35,4908;330,4193;350,8393;True;True;-0,1305;0,6907;0,3495;350,3707;17,2255;353,4951;-0,3168;-1,1494;0,4675;-156,7793;True;False;False;1,0;1,0;0,9691;0,6919;0,0;0,0;0,0;0,0;9
3185;17,92022;-0,0597;1,1054;0,054;36,3522;329,6025;350,4072;True;True;-0,1236;0,7304;0,3148;344,182;25,1882;12,9964;-0,0161;0,6941;-0,4123;174,2303;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3195;18,06022;-0,0649;1,1046;0,0549;36,7117;332,4744;352,3633;True;True;-0,1257;0,7293;0,3199;347,5339;28,5172;23,7043;0,0133;0,1149;0,0493;166,6030;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3200;18,14022;-0,0677;1,1036;0,0552;36,6202;334,4108;353,7415;True;True;-0,1235;0,7369;0,3245;348,5728;27,3657;15,9573;0,0607;0,1787;0,0889;171,1944;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3205;18,22023;-0,0701;1,1041;0,0543;36,8183;336,6506;355,3286;True;True;-0,1145;0,7701;0,3161;347,9229;26,0119;4,4323;0,1696;0,4271;-0,1646;-173,9628;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3210;18,30023;-0,0702;1,1038;0,0545;37,1663;342,9672;359,0952;True;True;-0,0681;0,8197;0,2872;341,1219;24,7736;346,9253;0,3694;0,2089;-0,1632;-163,9069;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3220;18,44023;-0,0492;1,0959;0,0572;38,1057;8,2127;13,8114;True;True;0,094;0,8886;0,2257;344,7386;30,4645;341,4393;0,959;-0,7239;0,3951;-167,9837;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3230;18,58023;-0,0404;1,0911;0,0547;38,1985;17,4916;20,4386;True;True;0,2587;0,7652;0,2745;353,8767;35,5626;356,1307;0,7723;-1,0187;0,1269;-153,9306;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3240;18,72024;-0,0378;1,0923;0,0519;39,2944;15,7598;19,0834;True;True;0,2558;0,7558;0,252;344,0103;34,1476;6,64;-0,2268;-0,1094;0,0552;-153,7027;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3250;18,86024;-0,0352;1,0945;0,0518;39,6239;12,9246;16,2483;True;True;0,2295;0,7361;0,2722;349,7677;34,8279;6,1775;-0,0403;-0,0092;0,0701;-153,5356;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3260;19,00024;-0,0312;1,0958;0,0528;38,9649;12,3675;15,7025;True;True;0,2314;0,7349;0,2754;1,8857;38,0198;1,3889;0,0979;-0,0677;0,11;-154,4122;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9
3270;19,14025;-0,0244;1,0921;0,0592;39,2476;12,1034;15,1241;True;True;0,2337;0,7601;0,2841;359,2306;36,8097;2,6608;-0,2108;0,3043;0,0262;-152,4380;True;False;False;1,0;1,0;1,0;0,8804;0,0;0,0;0,0;0,0;9
3275;19,20025;-0,021;1,0914;0,0624;39,7066;10,2786;13,1796;True;True;0,1881;0,825;0,267;0,5359;33,7312;351,9555;-0,5935;0,9134;-0,1232;-153,1073;True;False;False;1,0;1,0;1,0;0,7229;0,0;0,0;0,0;0,0;10
3280;19,28025;-0,0232;1,0912;0,0635;40,6357;3,3926;8,7867;True;True;0,1517;0,8526;0,2851;0,1012;26,9305;341,4145;-0,3101;0,3109;0,0694;-151,6610;True;False;False;1,0;1,0;1,0;0,7252;0,0;0,0;0,0;0,0;10
3285;19,34025;-0,0309;1,0913;0,0622;41,1804;351,643;1,7688;True;True;0,0786;0,8812;0,2871;355,97;19,1335;333,6582;-2,2486;0,6423;-0,5949;-147,9063;True;False;False;1,0;1,0;1,0;0,8799;0,0;0,0;0,0;0,0;10
3295;19,48026;-0,0442;1,0956;0,0541;39,143;335,4365;353,4568;True;True;-0,0507;0,7918;0,3162;356,7863;13,4262;337,1162;-0,6627;-1,4542;0,8468;-156,5434;True;False;False;1,0;1,0;1,0;0,8527;0,0;0,0;0,0;0,0;10
3305;19,62026;-0,0536;1,0971;0,0493;39,5355;326,981;348,0067;True;True;-0,1084;0,7065;0,3139;346,7706;1,5437;359,783;-0,3367;-0,5911;0,0063;-156,5435;True;False;False;1,0;1,0;0,8422;0,57;0,0;0,0;0,0;0,0;10
3310;19,70026;-0,0543;1,0978;0,0507;39,6278;327,2563;348,4679;True;True;-0,097;0,7116;0,2922;343,9272;8,1668;7,003;0,0647;0,2993;-0,4237;-164,1297;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3315;19,78026;-0,0503;1,0976;0,052;40,2975;329,7285;349,2896;True;True;-0,0926;0,7121;0,2913;342,7457;12,5931;11,2457;-0,0029;0,0449;0,0514;-174,0732;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3325;19,92027;-0,0492;1,099;0,0484;40,2684;333,8896;352,3001;True;True;-0,0879;0,7333;0,303;345,9685;15,2732;8,7165;-0,01;0,3301;-0,0148;-172,5818;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3330;20,00027;-0,0483;1,0994;0,048;40,6381;339,8334;355,9227;True;True;-0,0862;0,7588;0,3013;347,962;14,6569;7,1644;0,0043;0,2331;-0,0054;-171,4175;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3340;20,14027;-0,0294;1,0983;0,0511;39,3642;8,0819;13,4892;True;True;0,0539;0,8539;0,2418;343,0627;20,1884;341,7155;0,5321;-0,4209;0,2316;-160,8943;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3350;20,28027;-0,0264;1,096;0,049;39,1493;15,1134;17,5919;True;True;0,1859;0,789;0,2674;358,0971;35,3836;335,6957;0,587;-0,2709;0,0312;-148,8260;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3355;20,34027;-0,0262;1,0967;0,0478;38,7732;15,5616;17,1926;True;True;0,2231;0,753;0,2657;353,7622;40,0875;359,4862;0,1299;-0,0842;-0,2025;-151,2510;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3360;20,42028;-0,0267;1,0972;0,0469;38,4974;15,8253;17,7756;True;True;0,2148;0,7505;0,2541;350,9178;42,5356;16,6993;-0,0131;0,0002;-0,1434;-161,4522;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3365;20,48028;-0,0307;1,0988;0,0459;38,6049;14,1552;17,3288;True;True;0,2028;0,7368;0,2626;344,9308;39,6343;14,7662;-0,2356;-0,3323;0,2041;-164,8673;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3370;20,56028;-0,036;1,1002;0,0457;38,3654;11,6376;16,6339;True;True;0,1953;0,7217;0,2702;351,8527;41,1039;20,2871;-0,0377;-0,0658;0,022;-166,5000;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3375;20,62028;-0,0402;1,1003;0,0479;38,2782;9,0721;16,0557;True;True;0,1915;0,7355;0,2773;1,3677;41,757;11,352;-0,0186;0,3056;0,1492;-165,9277;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3380;20,70028;-0,0402;1,0987;0,0514;38,3838;8,0695;15,1821;True;True;0,1917;0,7472;0,2752;1,7848;38,3565;356,7264;-0,062;0,0835;-0,0183;-161,3609;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10
3385;20,76028;-0,039;1,0981;0,0569;37,4833;6,6277;13,8417;True;True;0,1779;0,7654;0,2862;355,5715;31,7037;347,5665;-0,4287;0,8672;0,183;-153,5079;True;False;False;1,0;1,0;1,0;0,7952;0,0;0,0;0,0;0,0;10
3395;20,90029;-0,0397;1,0983;0,0615;37,5173;356,1835;6,6104;True;True;0,0999;0,8439;0,2875;351,377;26,2635;338,4157;-1,2488;-0,1529;0,4572;-155,0725;True;False;False;1,0;1,0;1,0;0,8915;0,0;0,0;0,0;0,0;11
3405;21,04029;-0,0519;1,1002;0,0548;37,3608;337,1867;355,1288;True;True;-0,0357;0,8249;0,2981;356,2168;12,646;346,1825;-0,8059;-0,4374;0,0455;-158,0238;True;False;False;1,0;1,0;1,0;0,7743;0,0;0,0;0,0;0,0;11
3415;21,18029;-0,0602;1,1023;0,0517;36,1071;329,0274;350,8014;True;True;-0,1187;0,6931;0,3129;344,9423;10,5661;10,957;-0,2915;-0,8629;-0,2248;-160,6541;True;False;False;1,0;1,0;1,0;0,8566;0,0;0,0;0,0;0,0;11
3420;21,2603;-0,0639;1,1031;0,0518;36,0285;327,6159;350,336;True;True;-0,1187;0,7114;0,276;343,9721;20,279;22,3465;-0,0506;0,1543;-0,2667;-178,7902;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3430;21,4003;-0,0626;1,1033;0,0538;36,1318;329,9431;351,2073;True;True;-0,1107;0,7227;0,2905;348,0913;19,2597;20,2909;0,0916;0,0259;0,1394;173,6031;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3435;21,4803;-0,0621;1,1035;0,0543;35,726;332,088;352,0457;True;True;-0,1063;0,7301;0,2972;348,8693;18,7012;15,3897;0,0327;0,1261;0,0164;176,5208;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3445;21,6203;-0,0569;1,1026;0,0546;37,3246;345,7853;0,562;True;True;-0,0293;0,8385;0,2685;345,4866;16,1209;0,0986;1,3237;1,1322;-0,2541;-173,6940;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3450;21,70031;-0,0392;1,0991;0,0565;37,5545;6,8715;13,6702;True;True;0,0758;0,8698;0,257;357,9407;16,3363;344,0841;2,3756;-0,5509;-0,1259;-166,9963;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3455;21,78031;-0,0293;1,0962;0,0555;36,6685;17,1459;18,8887;True;True;0,1556;0,8356;0,2729;0,2408;24,0063;328,9798;0,6861;-0,1997;0,0552;-153,9965;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3465;21,92031;-0,0249;1,0968;0,0532;36,2405;20,4985;20,4478;True;True;0,2532;0,7587;0,2631;352,0871;41,6821;358,8219;-0,4038;0,0343;-0,6338;-151,8099;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3475;22,06031;-0,0251;1,0976;0,0509;36,2076;17,6775;18,9435;True;True;0,2246;0,7302;0,2579;348,9745;46,1604;17,537;-0,2852;0,1199;0,1534;-167,4204;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3485;22,20032;-0,0295;1,0996;0,0561;36,315;13,7258;16,5866;True;True;0,2047;0,779;0,2928;356,1086;41,3252;8,2914;0,0702;0,4774;0,2838;-164,5801;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11
3490;22,26032;-0,0311;1,0988;0,059;37,1551;10,4488;15,2811;True;True;0,1804;0,8273;0,3019;0,2507;35,8627;353,7309;-0,8184;0,9898;0,0524;-156,2827;True;False;False;1,0;1,0;0,9394;0,7263;0,0;0,0;0,0;0,0;11
3495;22,34032;-0,0341;1,0966;0,0593;38,9805;3,4345;10,3288;True;True;0,1191;0,8536;0,3155;355,2198;27,2216;340,757;-0,4766;0,1867;0,1699;-149,9319;True;False;False;1,0;1,0;0,9342;0,7119;0,0;0,0;0,0;0,0;12
3500;22,40032;-0,0403;1,0935;0,057;40,9051;354,2599;4,3387;True;True;0,0416;0,8657;0,3022;356,9018;20,2329;338,9997;-1,1152;0,0108;-0,0747;-148,3928;True;False;False;1,0;1,0;0,9158;0,6756;0,0;0,0;0,0;0,0;12
3505;22,48032;-0,05;1,0914;0,054;41,7767;341,2944;356,7372;True;True;-0,0198;0,8221;0,3022;352,5374;16,5099;341,1811;-0,578;-0,3527;0,0211;-154,3546;True;False;False;1,0;1,0;0,9006;0,683;0,0;0,0;0,0;0,0;12
3510;22,54033;-0,0553;1,0914;0,051;41,8199;332,4558;350,8106;True;True;-0,0652;0,7805;0,304;351,251;10,3514;340,7972;-0,9909;-0,8292;0,0902;-153,7145;True;False;False;1,0;1,0;0,8901;0,6723;0,0;0,0;0,0;0,0;12
3520;22,68033;-0,0586;1,0963;0,053;40,498;329,1263;349,1848;True;True;-0,1051;0,706;0,2862;346,5279;12,3;8,8234;0,0875;0,3961;-0,4261;-163,8162;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3530;22,82033;-0,0554;1,0957;0,0576;41,0897;331,4533;350,2502;True;True;-0,0973;0,715;0,2951;345,4763;15,5747;18,2242;0,193;-0,0451;0,1408;178,4535;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3535;22,90033;-0,0542;1,0964;0,06;40,6633;335,0758;351,7827;True;True;-0,0889;0,7294;0,2985;346,8522;16,1401;14,8293;0,1217;0,2303;-0,0049;-178,4787;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3545;23,04034;-0,0428;1,0914;0,0632;41,9602;351,9583;3,1285;True;True;0,0305;0,8653;0,2615;346,5806;21,7357;350,8622;0,8109;-0,0147;-0,1855;-170,8856;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3555;23,18034;-0,0146;1,0864;0,0612;40,5502;23,257;21,3839;True;True;0,202;0,8193;0,2584;354,6377;30,7698;337,6995;1,96;-1,0937;0,1596;-155,4498;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3565;23,32034;-0,0126;1,0857;0,0597;40,441;23,1155;21,0558;True;True;0,2934;0,7328;0,2284;352,0919;37,5034;2,7629;-0,2362;0,0026;-1,0565;-152,2604;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3570;23,40034;-0,0132;1,0873;0,0582;40,5842;21,7822;20,694;True;True;0,2821;0,7264;0,2137;346,8497;40,3295;10,1306;-0,0245;-0,0747;-0,0113;-157,3789;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3575;23,46035;-0,0143;1,0893;0,0577;40,3939;19,7437;19,1712;True;True;0,2671;0,7264;0,2355;344,7177;44,1626;17,1803;-0,3994;-0,0235;0,5418;-164,0944;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3580;23,54035;-0,0169;1,0905;0,0584;40,5715;16,865;17,5586;True;True;0,2532;0,7403;0,2479;347,9265;44,3232;18,0518;-0,0907;0,1364;0,118;-165,6200;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3585;23,60035;-0,0189;1,0905;0,0614;40,5353;13,9654;16,45;True;True;0,2532;0,7535;0,2634;349,1511;44,2173;7,4148;0,2036;0,0331;0,4118;-164,1175;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12
3590;23,68035;-0,0181;1,0898;0,0642;40,803;9,7246;13,7736;True;True;0,2236;0,7966;0,2678;345,8804;40,7718;354,2418;-0,3708;0,4644;0,053;-157,8394;True;False;False;1,0;1,0;1,0;0,7503;0,0;0,0;0,0;0,0;12
3595;23,74035;-0,0189;1,088;0,0649;42,2735;2,5088;8,9458;True;True;0,1465;0,8497;0,2697;349,1982;34,5192;349,0624;-1,4646;0,5181;0,2485;-157,1408;True;False;False;1,0;1,0;1,0;0,7675;0,0;0,0;0,0;0,0;13
3600;23,82035;-0,0241;1,0874;0,0623;43,3523;351,0163;1,4497;True;True;0,0761;0,8605;0,2742;348,1096;26,8479;344,0045;-0,6853;0,1888;-0,0095;-158,6095;True;False;False;1,0;1,0;1,0;0,79;0,0;0,0;0,0;0,0;13
3605;23,88036;-0,0304;1,0893;0,0586;42,6432;340,9907;355,0237;True;True;0,0113;0,8282;0,2953;348,7135;22,3963;342,7704;-1,1792;-1,3104;0,5608;-159,7342;True;False;False;1,0;1,0;1,0;0,7608;0,0;0,0;0,0;0,0;13
3615;24,02036;-0,0392;1,0957;0,0557;40,4741;331,8577;350,3134;True;True;-0,0678;0,7435;0,3325;351,9424;14,2858;347,7843;-0,3951;-0,3416;0,0895;-155,1381;True;False;False;1,0;1,0;0,9179;0,6491;0,0;0,0;0,0;0,0;13
3625;24,16036;-0,042;1,0989;0,0608;38,8482;329,9789;348,9768;True;True;-0,0741;0,719;0,3065;343,8195;26,1963;14,0511;0,1246;-0,0065;0,0509;176,2138;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3630;24,24036;-0,0395;1,0981;0,0638;38,9709;331,5467;349,5692;True;True;-0,0698;0,7186;0,3108;347,2668;26,5757;13,7334;0,0516;0,0279;0,057;174,0669;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3640;24,38037;-0,0354;1,0972;0,0647;40,0239;337,0633;352,5527;True;True;-0,0583;0,7395;0,3164;350,3697;24,9019;8,3961;0,171;0,4563;0,0152;-177,3739;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3645;24,46037;-0,0346;1,0945;0,0645;41,4372;343,6928;358,1775;True;True;-0,0155;0,8105;0,2756;345,5115;23,8312;354,1571;0,6727;0,9228;-0,6696;-168,5111;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3655;24,60037;-0,0286;1,0933;0,0625;41,2578;355,2035;5,4643;True;True;0,0804;0,8453;0,2566;342,4719;30,9818;326,3418;0,9992;-0,2857;-0,062;-156,2568;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3660;24,68037;-0,0277;1,0946;0,0582;40,8722;356,6775;5,9704;True;True;0,1078;0,7946;0,2872;350,8817;37,8843;318,0616;0,2535;-0,3135;0,254;-146,3024;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3665;24,74038;-0,0287;1,097;0,0552;39,8513;356,4533;5,525;True;True;0,1174;0,7562;0,3057;354,2904;45,3516;327,8222;-0,1722;-0,4351;-0,0734;-143,9237;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3670;24,82038;-0,0308;1,0994;0,0534;39,0794;355,7366;5,0324;True;True;0,1046;0,7256;0,3148;358,7586;47,0451;340,9753;-0,0807;-0,3206;0,1506;-152,5306;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3675;24,88038;-0,0344;1,1019;0,0529;38,3865;354,7542;4,6846;True;True;0,0804;0,7278;0,3063;352,2216;49,2211;354,4358;-0,8311;0,7169;-0,2332;-162,2523;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3680;24,96038;-0,0387;1,1038;0,0521;37,6953;353,218;4,159;True;True;0,0642;0,7137;0,3042;348,7442;49,2851;0,8225;-0,0441;-0,169;-0,019;-170,9879;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
3685;25,02038;-0,0425;1,1049;0,0515;37,6764;352,5759;4,3669;True;True;0,0566;0,708;0,3083;350,5354;47,8785;5,4742;-0,155;-0,1189;0,1959;-171,6718;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13
