Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1955;0,06;0,0225;0,9758;-0,0377;17,7862;9,7110;359,1181;True;True;0,2505;0,6530;0,1356;11,6133;69,3074;294,5302;0,0003;-0,0003;-0,0005;114,2876;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1960;0,14;0,0226;0,9761;-0,0378;17,6814;9,6905;359,0658;True;True;0,2504;0,6529;0,1355;11,5545;69,5103;294,3734;-0,0013;0,0021;-0,0018;112,2321;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1965;0,22;0,0226;0,9760;-0,0379;17,7462;9,6787;359,0060;True;True;0,2503;0,6535;0,1350;11,5425;69,3504;294,2819;-0,0056;0,0085;-0,0046;110,9797;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1975;0,36;0,0227;0,9760;-0,0380;17,7100;10,3686;359,0710;True;True;0,2498;0,6543;0,1343;10,8717;69,3758;293,1093;-0,0061;0,0103;-0,0123;110,9063;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1985;0,5000001;0,0255;0,9735;-0,0355;18,3159;13,1306;0,2000;True;True;0,2543;0,6889;0,1406;19,8908;75,3237;300,4797;-0,0053;0,2651;0,0523;116,2869;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1995;0,6399999;0,0273;0,9724;-0,0332;19,4356;15,2088;0,8561;True;True;0,2713;0,6756;0,1843;17,5312;85,9952;336,0064;0,1693;-0,3171;0,4281;134,7774;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2005;0,7799998;0,0243;0,9718;-0,0270;19,7618;14,9821;1,3612;True;True;0,2691;0,6578;0,1948;12,3698;82,5861;357,8806;-0,0364;-0,1019;0,1568;143,5804;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2010;0,8399997;0,0225;0,9700;-0,0238;20,3111;14,4523;1,5098;True;True;0,2699;0,6569;0,1999;19,7037;82,6290;354,0840;-0,0051;0,0700;-0,0149;-145,1535;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2015;0,9199997;0,0213;0,9680;-0,0215;21,0372;14,0596;1,5545;True;True;0,2578;0,6843;0,2030;20,1508;81,7835;344,9474;-0,0347;0,2768;0,0884;148,4995;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2020;0,9799996;0,0203;0,9670;-0,0211;21,5998;13,9173;1,5989;True;True;0,2491;0,7117;0,2015;19,0088;75,2451;330,0482;-0,5232;0,6550;-0,1278;146,3114;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d1e46a0e-89f7-4835-b7f3-6afa4871946e;False;
2025;1,06;0,0195;0,9675;-0,0223;21,4306;13,5874;1,5222;True;True;0,2113;0,7441;0,2108;19,0420;65,2711;314,4973;-0,4368;0,2272;0,1656;-141,7610;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d1e46a0e-89f7-4835-b7f3-6afa4871946e;False;
2030;1,12;0,0187;0,9690;-0,0246;20,8763;13,0431;0,9611;True;True;0,1659;0,7531;0,2049;20,1953;52,8248;304,0990;-1,0656;0,0254;-0,2739;-140,8588;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d1e46a0e-89f7-4835-b7f3-6afa4871946e;False;
2035;1,199999;0,0175;0,9708;-0,0276;20,0859;12,8132;0,3463;True;True;0,1239;0,7301;0,2024;23,8003;44,2354;306,7635;-0,2847;-0,4004;-0,0736;-146,3085;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d1e46a0e-89f7-4835-b7f3-6afa4871946e;False;
2040;1,259999;0,0157;0,9731;-0,0297;19,2915;12,6705;0,3617;True;True;0,1111;0,6934;0,2133;25,6043;47,0118;327,6625;0,0354;-0,8431;0,3231;-154,9149;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d1e46a0e-89f7-4835-b7f3-6afa4871946e;False;
2045;1,339999;0,0129;0,9742;-0,0295;18,6805;12,4730;0,2984;True;True;0,1127;0,6777;0,2166;18,1920;48,2451;343,3150;-0,0502;-0,1654;0,0910;-156,4467;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
